Language,GeographicArea,LanguageTag,LCID
Arabic,Saudi Arabia,ar-SA,1025
Bulgarian,Bulgaria,bg-BG,1026
Chinese (Simplified),People's Republic of China,zh-CN,2052
Chinese,Taiwan,zh-TW,1028
Croatian,Croatia,hr-HR,1050
Czech,Czech Republic,cs-CZ,1029
Danish,Denmark,da-DK,1030
Dutch,Netherlands,nl-NL,1043
English,United States,en-US,1033
Estonian,Estonia,et-EE,1061
Finnish,Finland,fi-FI,1035
French,France,fr-FR,1036
German,Germany,de-DE,1031
Greek,Greece,el-GR,1032
Hebrew,Israel,he-IL,1037
Hindi,India,hi-IN,1081
Hungarian,Hungary,hu-HU,1038
Indonesian,Indonesia,id-ID,1057
Italian,Italy,it-IT,1040
Japanese,Japan,ja-JP,1041
Kazakh,Kazakhstan,kk-KZ,1087
Korean,Korea,ko-KR,1042
Latvian,Latvia,lv-LV,1062
Lithuanian,Lithuania,lt-LT,1063
Malay,Malaysia,ms-MY,1086
Norwegian (Bokmï¿½l),Norway,nb-NO,1044
Polish,Poland,pl-PL,1045
Portuguese,Brazil,pt-BR,1046
Portuguese,Portugal,pt-PT,2070
Romanian,Romania,ro-RO,1048
Russian,Russia,ru-RU,1049
Serbian (Latin),Serbia,sr-latn-RS,2074
Slovak,Slovakia,sk-SK,1051
Slovenian,Slovenia,sl-SI,1060
Spanish,Spain,es-ES,3082
Swedish,Sweden,sv-SE,1053
Thai,Thailand,th-TH,1054
Turkish,Turkey,tr-TR,1055
Ukrainian,Ukrainian,uk-UA,1058
Vietnamese,Vietnam,vi-VN,1066
